Emotion,Text
anger,"I got into an argument with a photographer for whom I had to pose twelve times, over  a period of four weeks, before I could get a snap of mine.  Every time the film was processed my snap did not come out although the others did."
neutral, 500 pieces . 
sadness,I felt sadness when I had to get separated from the woman I loved who had to leave for her motherland.
joy,"One Saturday afternoon, I deliberately dressed up nicely (I had been in a bad mood of late).  I hoped to go for a walk in the soft sunlight to try and uplift my spirits.  When I was having lunch in the canteen, two of my male classmates asked me as to why I was dressed so nicely (they had seldom joked with me before).  One of them said that he had a lounge suit and we would look very nice if we wore them together."
anger,"When it became clear that a man had used many people sexually and psychologically, despite the fact that many people looked up to him.  I understood that one could not trust him and I was forced to hide this for a while."
sadness, I ’ m afraid that I can ’ t . They were in fashion last year and the year before last . But they ’ re not in fashion this year . These shoes are in fashion now . 
joy,I was very happy when I received the year end results as I was worried about how well I had done.  I was very happy to know that I had passed.
sadness,"One unnamed area was criticised after it appeared to have industrial dereliction and sad , downcast people . "
fear,"After what  news has brought out in the news, there is NO way our family will ever fly. Sad but true and it sucks actually. "
neutral," No , never . "
neutral,Let's go in . 
neutral, Oh.history . 
joy," By the way , would you like to have dinner with me tomorrow evening ? Tomorrow is my birthday . "
fear,wake up in the morning eat some flakes buck up go to work for poverty wages send your kids to #FEAR war get sick go broke repeat.
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the steps outside her parents home and I kissed her for the first time."
fear,"The day I first met you, you told me you'd never fall  but now that I know you, I know is what it really was!"
anger,I told my friend something confidential which was supposed to remain between the two of us.  The next thing that happened was that a girl who is not even close to us came laughing and askad me to tell her about it.  I was very angry with my friend as I had trusted her.
anger,"But his initial anger at finding the latest two victims of the insane killer 's bloodlust , blazed into an all-consuming hatred of the man who had done it . "
neutral, Me too . 
anger,An old lady slipped and nobody helped her.
anger,A friend called me and told me that she wanted to come and see me. She lived in a village at 50 km distance fom my home town. Next morning I expected her but she didn't arrive. As I got impatient I called her but her parents told me that she had gone skiing. I was very angry because I had cancelled an appointment to be able to see her.
anger,"One day in a clinic, the father of a child came in and assaulted a colleague for something that she had not done deliberately."
joy, All right . 
sadness, I'm afraid you've made a mistake . This isn't what I ordered . 
joy," Yes . And we're proud of you , Loans . "
anger,I had planned to study for my mid-term exams on a certain day and  my room-mate called me to ask me to go out for a stroll.  I tried to make an excuse so as not to go out but she refused to listen to me and insisted that I go out with her.  I find it unnecessary  to talk to her anymore. 
fear,When I had to walk home in the dark for the first time. 
sadness," This has been the worst and best day of my life , Taylor . They kept you in the hospital , and ... "
joy, Eighteen.Some friends are having a birthday party for me tonight.Do you want to come ? 
neutral," Just so so . Last night I met this great guy at the bar and we had such a wonderful time , so we decided to meet again tonight . "
joy,When my brother bought me a nice pair of shoes from South Africa.
anger,Some boys deliberately played tricks on me in the experiments. 
anger,A very close friend of mine was refused entrance to the medical school.  Her grades were very good and she should not have been left out.  Biased judgment !
fear,"Well the birthday surprise was a fail, that professor has chronic bitch face. We freaked, ran in, threw her gifts at her then ran out. "
sadness,"To misquote you : he is itinerant because he is miserable . "" "
neutral, 250 Yuan . 
joy,She had smiled and raised rather amused brows at the stories that tumbled in then of Fergus 's progress . 
joy,Hello Gina ! We've spoken so many times on the phone but's it's so good to finally meet you in person ! 
joy, Fine ! Do you want anything to eat now ? 
neutral, Okay . 
neutral," Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies . "
sadness,"When I feel I must be with somebody, to talk with somebody - but I am alone."
neutral, August 1st . 
joy,"After having at last finished my master's thesis, I felt great joy and relief.  I had been haunted by the thesis during the whole of my studies."
